Código;Local/Unidade
01.01.0085.01.0027;SEMSA - CF SEVERIANO NUNES
01.01.0085.01.0028;SEMSA - CF WALDIR BUGALHO
01.01.0085.01.0036;SEMSA - DR. JOSE AVELINO PEREIRA
01.01.0085.01.0037;SEMSA - DR. LUIZ MONTENEGRO
01.01.0085.01.0040;SEMSA - DR. SILAS DE OLIVEIRA SANTOS
01.01.0085.01.0112;SEMSA - INTERMITENTE
01.01.0085.01.0084;SEMSA - LAB DE CITOPATOLOGIA SEBASTIAO MARINHO
01.01.0085.01.0018;SEMSA - LABORATORIO DE VIGILANCIA
01.01.0085.01.0012;SEMSA - LABORATORIO DISTRITAL LESTE
01.01.0085.01.0110;SEMSA - LABORATÓRIO DISTRITAL NORTE
01.01.0085.01.0014;SEMSA - LABORATORIO DISTRITAL OESTE
01.01.0085.01.0015;SEMSA - LABORATORIO DISTRITAL SUL
01.01.0085.01.0090;SEMSA - MOVEL
01.01.0085.01.0021;SEMSA - POL DR. JOSE ANTONIO DA SILVA
01.01.0085.01.0107;SEMSA - POL. DR. RAIMUNDO FRANCO DE SA
01.01.0085.01.0019;SEMSA - POLI DR. ANTONIO COMTE TELLES
01.01.0085.01.0017;SEMSA - POLICLINICA ANA BARRETO
01.01.0085.01.0016;SEMSA - POLICLINICA CASTELO BRANCO
01.01.0085.01.0020;SEMSA - POLICLINICA DR. DJALMA BATISTA
01.01.0085.01.0091;SEMSA - RESCISÃO INDIRETA
01.01.0085.01.0001;SEMSA - SEDE
01.01.0085.01.0029;SEMSA - UBS AJURICABA
01.01.0085.01.0078;SEMSA - UBS ALFREDO CAMPOS
01.01.0085.01.0030;SEMSA - UBS ALMIR PEDREIRA
01.01.0085.01.0031;SEMSA - UBS ARMANDO MENDES
01.01.0085.01.0079;SEMSA - UBS AUGIAS GADELHA
01.01.0085.01.0033;SEMSA - UBS BAIRRO DA PAZ
01.01.0085.01.0109;SEMSA - UBS BALBINA MESTRINHO
01.01.0085.01.0083;SEMSA - UBS BIANCA DE CARVALHO
01.01.0085.01.0034;SEMSA - UBS CACILDA DE FREITAS
01.01.0085.01.0081;SEMSA - UBS DEODATO DE MIRANDA LEÃO
01.01.0085.01.0035;SEMSA - UBS DOM MILTON CORREA
01.01.0085.01.0085;SEMSA - UBS DR. JOSE AMAZONAS PALHANO
01.01.0085.01.0086;SEMSA - UBS DR. JOSE RAYOL DOS SANTOS
01.01.0085.01.0038;SEMSA - UBS DR. PLATÃO ARAUJO
01.01.0085.01.0041;SEMSA - UBS DRA. LUIZA DO CARMO RIBEIRO
01.01.0085.01.0042;SEMSA - UBS ENF IVONE LIMA
01.01.0085.01.0043;SEMSA - UBS FATIMA ANDRADE
